id,countryid,countryname,countrycode,year,voc,taxpercent,corporatetax,personaltax,econglobal,gini,socialexp,export
1,1,australia,aus,2004,0,30.145,30.000,31.500,66.901,33.100,17.197,18.224
2,1,australia,aus,2005,0,29.849,30.000,31.500,66.871,33.100,16.660,19.854
3,1,australia,aus,2006,0,29.301,30.000,31.500,68.431,33.100,15.699,20.184
4,1,australia,aus,2007,0,29.423,30.000,31.500,69.648,33.100,15.858,20.149
5,1,australia,aus,2008,0,26.743,30.000,31.500,66.550,35.400,17.050,23.011
6,1,australia,aus,2009,0,25.425,30.000,31.500,67.422,35.400,16.853,19.795
7,1,australia,aus,2010,0,25.160,30.000,31.500,67.356,34.700,16.553,21.436
8,1,australia,aus,2011,0,25.792,30.000,31.500,67.229,34.700,17.020,21.491
9,1,australia,aus,2012,0,26.821,30.000,32.000,65.904,34.700,17.308,19.974
10,1,australia,aus,2013,0,26.974,30.000,34.000,64.186,34.700,17.263,21.082
11,1,australia,aus,2014,0,27.176,30.000,34.000,66.482,34.400,17.804,20.058
12,1,australia,aus,2015,0,27.793,30.000,39.000,65.636,34.400,18.207,19.262
13,1,australia,aus,2016,0,27.512,30.000,39.000,67.133,33.700,17.476,21.229
14,1,australia,aus,2017,0,28.542,30.000,34.500,67.560,33.700,17.077,21.854
15,1,australia,aus,2018,0,28.627,30.000,34.500,67.483,34.300,16.638,24.112
16,1,australia,aus,2019,0,27.711,30.000,34.500,67.511,34.300,20.451,23.967
17,1,australia,aus,2020,0,28.549,30.000,42.000,65.123,34.300,20.451,21.977
18,2,canada,can,2004,0,32.713,34.380,31.150,67.796,33.800,16.098,37.328
19,2,canada,can,2005,0,32.661,34.180,31.150,67.531,33.600,15.953,36.856
20,2,canada,can,2006,0,32.725,33.930,31.150,67.464,34.100,16.346,35.402
21,2,canada,can,2007,0,32.495,33.950,31.150,67.875,33.800,16.264,34.230
22,2,canada,can,2008,0,31.235,31.400,31.150,66.958,33.900,16.352,34.395
23,2,canada,can,2009,0,32.346,30.900,31.150,67.006,34.000,18.085,28.516
24,2,canada,can,2010,0,31.007,29.400,31.150,66.826,33.600,17.600,29.167
25,2,canada,can,2011,0,30.803,27.700,31.150,66.513,32.700,17.093,30.678
26,2,canada,can,2012,0,31.177,26.100,31.150,66.736,33.500,17.222,30.353
27,2,canada,can,2013,0,31.132,26.200,31.150,66.584,33.800,16.986,30.332
